algorithm,data_type,size,time_seconds
Merge Sort,sorted,500,0.0003155999875161797
Quick Sort,sorted,500,0.00026619998971000314
Merge Sort,reverse,500,0.0003108999808318913
Quick Sort,reverse,500,0.0002686999796424061
Merge Sort,random,500,0.0004732999950647354
Quick Sort,random,500,0.00033569999504834414
Merge Sort,sorted,1000,0.0006782999844290316
Quick Sort,sorted,1000,0.0005769999988842756
Merge Sort,reverse,1000,0.0006513000116683543
Quick Sort,reverse,1000,0.0005896000075154006
Merge Sort,random,1000,0.001067500008502975
Quick Sort,random,1000,0.0006639999919570982
Merge Sort,sorted,2000,0.001435499987564981
Quick Sort,sorted,2000,0.0013765999756287783
Merge Sort,reverse,2000,0.001448099996196106
Quick Sort,reverse,2000,0.0013547000125981867
Merge Sort,random,2000,0.0022421000176109374
Quick Sort,random,2000,0.001502800005255267
Merge Sort,sorted,5000,0.0038944999978411943
Quick Sort,sorted,5000,0.003377599990926683
Merge Sort,reverse,5000,0.003848299995297566
Quick Sort,reverse,5000,0.003544900013366714
Merge Sort,random,5000,0.005574999988311902
Quick Sort,random,5000,0.003843900020001456
Merge Sort,sorted,10000,0.007735099992714822
Quick Sort,sorted,10000,0.00723909999942407
Merge Sort,reverse,10000,0.008225500001572073
Quick Sort,reverse,10000,0.00738880000426434
Merge Sort,random,10000,0.012369400006718934
Quick Sort,random,10000,0.008310800010804087
